iter	Passed	Remaining
0	1	106
1	2	102
2	3	98
3	3	89
4	4	88
5	5	88
6	6	87
7	7	88
8	9	91
9	10	92
10	11	91
11	12	90
12	13	91
13	14	91
14	15	90
15	16	89
16	17	87
17	18	86
18	19	84
19	20	83
20	21	82
21	23	82
22	24	81
23	25	80
24	27	81
25	28	80
26	29	79
27	30	78
28	31	77
29	32	76
30	33	75
31	34	74
32	35	72
33	37	72
34	39	72
35	41	73
36	42	71
37	43	70
38	44	69
39	45	67
40	46	66
41	46	64
42	47	63
43	48	61
44	49	60
45	50	59
46	52	58
47	53	58
48	55	57
49	56	56
50	57	55
51	58	53
52	59	52
53	60	51
54	61	50
55	62	49
56	63	47
57	64	46
58	66	46
59	67	45
60	68	43
61	69	42
62	70	41
63	71	40
64	72	39
65	73	37
66	74	36
67	75	35
68	76	34
69	77	33
70	78	32
71	80	31
72	81	30
73	82	29
74	83	27
75	84	26
76	86	25
77	87	24
78	88	23
79	89	22
80	90	21
81	91	20
82	93	19
83	94	18
84	95	16
85	97	15
86	99	14
87	100	13
88	101	12
89	102	11
90	104	10
91	105	9
92	107	8
93	108	6
94	110	5
95	111	4
96	112	3
97	113	2
98	114	1
99	116	0
